Gene,Non-unique Gene name,Annotation,L_plantarum,B_animalis,L_brevis
group_1859,,hypothetical protein,,,PHDJFC_02083
group_1858,,putative hydrolase of the HAD superfamily,,,PHDJFC_01029
group_1857,tnp,IS982 family ISLpl4 transposase,JLGHJK_02409,,
group_1852,,14-dihydroxy-2-naphthoyl-CoA synthase,,,PHDJFC_01398
group_1851,,Glutamate-aspartate carrier protein,,,PHDJFC_01373
group_1850,,Lipooligosaccharide cholinephosphotransferase,,,PHDJFC_00628
group_1849,,Phage tail protein,,IGABOM_00452,
group_1844,,ABC transmembrane type-1 domain-containing protein,,,PHDJFC_02013
group_1843,,Phosphopentomutase,,,PHDJFC_01772
group_1842,,Aminoglycoside N(3)-acetyltransferase,,,PHDJFC_01356
group_1841,,Core-binding (CB) domain-containing protein,,,PHDJFC_01141
pstB,pstB,Phosphate import ATP-binding protein PstB 3,,,PHDJFC_00702
group_1840,,NAD(+) diphosphatase,,IGABOM_02649,
group_1839,,Bacterial Ig domain-containing protein,,IGABOM_02609,
group_1838,,Dehydrogenase/reductase SDR family member 7C,,IGABOM_02198,
group_1837,,DUF1351 domain-containing protein,JLGHJK_02491,,
group_1835,,Transposase,JLGHJK_00859,,
group_1833,,Putative exodeoxyribonuclease 8 PDDEXK-like domain-containing protein,,,PHDJFC_02645
yycJ,yycJ,Exodeoxyribonuclease YycJ,,,PHDJFC_01441
group_1832,,hypothetical protein,,,PHDJFC_01067
group_1831,,Mannose-specific PTS system component IID,,,PHDJFC_00791
group_1830,,Integral membrane protein,,,PHDJFC_00463
group_1829,,IS30 family transposase,,IGABOM_00942,
group_1826,,IS30 family transposase,JLGHJK_00959,,
group_1824,,ABC transmembrane type-1 domain-containing protein,,,PHDJFC_03020
group_1823,,hypothetical protein,,,PHDJFC_02683
group_1822,,Alpha-N-arabinofuranosidase,,,PHDJFC_02146
group_1821,,hypothetical protein,,,PHDJFC_01969
group_1820,,Response regulatory domain-containing protein,,,PHDJFC_01818
group_1819,,TGS domain-containing protein,,,PHDJFC_01784
group_1818,,NH(3)-dependent NAD(+) synthetase,,,PHDJFC_00809
group_1817,,Glutamate racemase,,,PHDJFC_00475
group_1812,,Proline iminopeptidase,,,PHDJFC_02101
group_1811,,Phosphoglycerate kinase,,,PHDJFC_01660
group_1810,yidC,Membrane protein insertase YidC 2,,,PHDJFC_01478
group_1809,,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta 2,,,PHDJFC_00241
bglB,bglB,Transcription antiterminator BglB family,,IGABOM_02656,
group_1807,,Transposase IS30 family,JLGHJK_02316,,
group_1804,,Pseudouridine synthase,,,PHDJFC_02459
group_1803,,Pyridinium-35-bisthiocarboxylic acid mononucleotide synthase,,,PHDJFC_02021
group_1802,,Chromosome partitioning protein DNA-binding protein,,,PHDJFC_01780
group_1801,,Short-chain dehydrogenase/oxidoreductase,,IGABOM_02639,
group_1800,,hypothetical protein,,IGABOM_00239,
group_1794,,hypothetical protein,,,PHDJFC_02886
group_1793,,hypothetical protein,,,PHDJFC_02284
group_1792,ecfA1,Energy-coupling factor transporter ATP-binding protein EcfA1,,,PHDJFC_02238
group_1791,,Lipoate-protein ligase A,,,PHDJFC_00881
group_1790,,Lipoprotein,,IGABOM_00205,
group_1786,,hypothetical protein,,,PHDJFC_02480
group_1785,,25-diketo-D-gluconic acid reductase B,,,PHDJFC_01881
group_1784,,Solute-binding protein family 3/N-terminal domain-containing protein,,,PHDJFC_00511
group_1777,,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase 1,,,PHDJFC_01323
group_1776,,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase 1,,,PHDJFC_01076
group_1775,,putative membrane transporter protein,,,PHDJFC_01053
group_1774,,DUF72 domain-containing protein,,,PHDJFC_00918
group_1773,,Band 7 domain-containing protein,,,PHDJFC_00539
group_1772,,PRD domain-containing protein,,IGABOM_02962,
group_1771,,hypothetical protein,,IGABOM_02065,
group_1770,,hypothetical protein,,IGABOM_02036,
group_1767,,2-succinyl-6-hydroxy-2 4-cyclohexadiene-1-carboxylate synthase,,,PHDJFC_01726
group_1766,,Band 7 domain-containing protein,,,PHDJFC_01404
group_1765,,Oxidoreductase aldo/keto reductase family protein,,,PHDJFC_01338
group_1764,,Prophage P2a protein 59 extracellular polysaccharide deacetylase lipid-anchored [Lactobacillus plantarum ZJ316],,,PHDJFC_01142
group_1763,,Integral membrane protein,,,PHDJFC_01060
group_1759,,NERD domain-containing protein,,,PHDJFC_02344
group_1758,,3'5'-cyclic-nucleotide phosphodiesterase,,,PHDJFC_01778
group_1757,,SAM-dependent methyltransferase,,,PHDJFC_01723
group_1756,,hypothetical protein,,,PHDJFC_01405
group_1755,,hypothetical protein,,,PHDJFC_01119
group_1754,ccmA,Heme ABC exporter ATP-binding protein CcmA,,,PHDJFC_00899
group_1753,,Diadenylate cyclase,,,PHDJFC_00650
group_1752,,Release factor glutamine methyltransferase,,,PHDJFC_00557
mreC,mreC,Cell shape-determining protein MreC,,,PHDJFC_00517
group_1751,,Rhamnulose-1-phosphate aldolase,,IGABOM_03027,
group_1750,,Transcription antiterminator,,IGABOM_02978,
group_1749,,NADP-dependent oxidoreductase domain-containing protein,,IGABOM_02450,
group_1748,,Oxidoreductase aldo/keto reductase family protein,,IGABOM_02438,
group_1743,,transposase,JLGHJK_00336,,
group_1742,,hypothetical protein,,,PHDJFC_02305
group_1741,,Multiple sugar ABC membrane-spanning permease protein,,,PHDJFC_01550
group_1740,,Regulatory protein YycH-like domain-containing protein,,,PHDJFC_01442
group_1739,,hypothetical protein,,,PHDJFC_01397
group_1738,degV,DegV family EDD domain-containing protein,,,PHDJFC_01066
group_1737,,BD-FAE-like domain-containing protein,,,PHDJFC_01059
group_1736,,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,,,PHDJFC_00910
group_1735,,Sugar transport protein,,IGABOM_02442,
group_1731,,Nucleoside-diphosphate-sugar epimerase,,,PHDJFC_01544
group_1730,,Hydrogenase,,,PHDJFC_01112
group_1729,lysR,LysR family transcriptional regulator,,,PHDJFC_01054
group_1728,,Short-chain dehydrogenase/oxidoreductaseatypical SDR family TMR-like,,,PHDJFC_01013
group_1727,,Oxidoreductase aldo/keto reductase family protein,,IGABOM_02451,
group_1723,,HTH rpiR-type domain-containing protein,,,PHDJFC_02331
group_1722,,hypothetical protein,,,PHDJFC_01256
group_1721,,Formamidopyrimidine-DNA glycosylase,,,PHDJFC_00371
group_1716,degV,DegV family protein,,,PHDJFC_02455
group_1715,araC,AraC family transcriptional regulator,,,PHDJFC_01590
group_1714,,NADP-dependent oxidoreductase domain-containing protein,,,PHDJFC_01249
group_1713,,Zinc-ribbon domain-containing protein,,,PHDJFC_01234
group_1712,,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,,,PHDJFC_00695
group_1711,,Oxidoreductase aldo/keto reductase family protein,,,PHDJFC_00166
group_1710,,hypothetical protein,,IGABOM_02740,
group_1707,araC,Transcription regulator AraC family,JLGHJK_02048,,
group_1706,,DUF4767 domain-containing protein,JLGHJK_01345,,
group_1704,,Basic amino acid/polyamine antiporter APA family,,,PHDJFC_02257
group_1703,,2-hydroxy-3-oxopropionate reductase,,,PHDJFC_02087
group_1702,degV,DegV family protein,,,PHDJFC_02030
group_1701,,Glucose uptake protein,,,PHDJFC_00603
folD,folD,Bifunctional protein FolD,,,PHDJFC_00300
group_1700,degV,DegV family protein,,,PHDJFC_00114
group_1698,,ABC transporter protein,JLGHJK_02623,,
group_1697,,Transport permease protein,JLGHJK_02622,,
group_1696,,hypothetical protein,JLGHJK_02468,,
group_1690,,Cell division protein DivIB,,,PHDJFC_02486
group_1689,,hypothetical protein,,,PHDJFC_02433
group_1685,,Tkt,,,PHDJFC_02520
group_1684,,hypothetical protein,,,PHDJFC_01649
group_1683,araC,Transcription regulator AraC family,,IGABOM_00250,
group_1680,,hypothetical protein,JLGHJK_01859,,
group_1678,,HTH arsR-type domain-containing protein,,,PHDJFC_02149
group_1677,,fructokinase,,,PHDJFC_01666
group_1676,,HTH araC/xylS-type domain-containing protein,,,PHDJFC_01193
group_1675,,hypothetical protein,,,PHDJFC_01176
group_1674,,ARA1 protein,,,PHDJFC_00167
group_1673,,Integral membrane protein,,IGABOM_02251,
group_1672,,hypothetical protein,,IGABOM_00240,
group_1666,,Amino acid ABC superfamily ATP binding cassette transporter binding protein,,,PHDJFC_02510
group_1665,pfkB,Carbohydrate kinase PfkB domain-containing protein,,,PHDJFC_01575
group_1664,,Aldose 1-epimerase,,,PHDJFC_01309
group_1663,,hypothetical protein,,,PHDJFC_00197
group_1658,,Polyphosphate kinase-2-related domain-containing protein,,,PHDJFC_02580
group_1657,lysR,Transcriptional regulator LysR family,,,PHDJFC_01863
group_1656,,hypothetical protein,,,PHDJFC_01102
group_1655,,Homoserine kinase,,,PHDJFC_00804
group_1654,,Ribosomal RNA small subunit methyltransferase I,,,PHDJFC_00736
group_1653,pstS,Phosphate-binding protein PstS 1,,,PHDJFC_00706
group_1652,,Small-conductance mechanosensitive channel,,,PHDJFC_00468
group_1651,,hypothetical protein,JLGHJK_02891,,
group_1646,,Elongation factor Ts,,,PHDJFC_02597
group_1645,,Pseudouridine synthase,,,PHDJFC_02160
group_1644,,Lipoprotein,,,PHDJFC_01981
group_1643,,Chromosome partitioning protein,,,PHDJFC_01782
group_1642,,Transcriptional regulator xre family,,,PHDJFC_00942
group_1641,,Nucleotide-binding protein SSA_0810,,,PHDJFC_00685
group_1640,,HTH cro/C1-type domain-containing protein,,,PHDJFC_00535
group_1639,,hypothetical protein,,,PHDJFC_00366
group_1638,,Oxidoreductase aldo/keto reductase family protein,,IGABOM_02444,
group_1631,,Binding-protein-dependent transport systems inner membrane component,,,PHDJFC_02123
cbiQ,cbiQ,ABC-type cobalt transport system permease component CbiQ related transporter,,,PHDJFC_01868
group_1630,lysR,Malolactic regulator LysR family,,,PHDJFC_01614
group_1629,,Pseudouridine synthase,,,PHDJFC_01279
group_1628,,Transcriptional regulator,,,PHDJFC_00992
group_1627,,33 kDa chaperonin,,,PHDJFC_00829
group_1626,,HTH cro/C1-type domain-containing protein,,IGABOM_01245,
group_1625,,hypothetical protein,JLGHJK_03433,,
group_1616,,Diacylglycerol kinase,,,PHDJFC_02572
group_1615,,Cell wall-associated hydrolase,,,PHDJFC_02521
group_1614,degV,DegV family protein,,,PHDJFC_02092
yqgI,yqgI,putative ABC transporter permease protein YqgI,,,PHDJFC_02009
group_1613,,hypothetical protein,,,PHDJFC_01598
group_1612,,Ribosomal RNA small subunit methyltransferase A,,,PHDJFC_00912
group_1611,,N-acetylmuramic acid 6-phosphate etherase,,IGABOM_02973,
group_1610,lysR,LysR family transcriptional regulator,,IGABOM_02445,
pfkB,pfkB,Carbohydrate kinase PfkB domain-containing protein,JLGHJK_03563,,
group_1608,,HTH-type transcriptional regulator Rgg C-terminal domain-containing protein,JLGHJK_00922,,
group_1605,,ABC transporter domain-containing protein,,,PHDJFC_02034
group_1604,,ABC transporter domain-containing protein,,,PHDJFC_01317
group_1603,,Alpha beta hydrolase,,,PHDJFC_01055
group_1602,,ABC-type multidrug transport system ATPase component,,,PHDJFC_00969
group_1601,,hypothetical protein,,,PHDJFC_00781
isdE,isdE,High-affinity heme uptake system protein IsdE,,,PHDJFC_00635
group_1600,,Dihydrokaempferol 4-reductase,,IGABOM_02636,
group_1592,,hypothetical protein,,,PHDJFC_02603
group_1591,,CDF family cation diffusion facilitator,,,PHDJFC_02181
group_1590,,Protease HtpX-like protein,,,PHDJFC_00853
group_1589,yidC,Membrane protein insertase YidC,,,PHDJFC_00341
group_1588,rsgA,Small ribosomal subunit biogenesis GTPase RsgA,,,PHDJFC_00278
group_1578,,ATP synthase gamma chain,,,PHDJFC_00549
group_1577,,hypothetical protein,,,PHDJFC_00270
group_1573,,ABC transporter ATP-binding protein,JLGHJK_02179,,
group_1572,,Polyprenyl synthetase,JLGHJK_01864,,
group_1570,,ABC transporter membrane spanning permease,,,PHDJFC_02090
group_1569,metN,Methionine import ATP-binding protein MetN,,,PHDJFC_01903
group_1568,,hypothetical protein,,,PHDJFC_01509
group_1567,,Partial 6-phosphogluconate dehydrogenase,,,PHDJFC_01305
group_1560,,hypothetical protein,,,PHDJFC_02001
group_1559,,GroES-like protein,,,PHDJFC_01643
group_1558,,hypothetical protein,,,PHDJFC_01538
group_1557,,UTP--glucose-1-phosphate uridylyltransferase,,,PHDJFC_00693
group_1556,,hypothetical protein,,,PHDJFC_00508
group_1555,,hypothetical protein,JLGHJK_03397,,
group_1552,,CorA-like protein,,,PHDJFC_02871
group_1551,,Lactate/malate dehydrogenase NAD binding domain protein,,,PHDJFC_02535
group_1550,,N-acetylmuramic acid 6-phosphate etherase,,,PHDJFC_02513
group_1549,,14-dihydroxy-2-naphthoate polyprenyltransferase,,,PHDJFC_02271
group_1548,,L-asparaginase,,,PHDJFC_02037
group_1547,,Alcohol dehydrogenase,,,PHDJFC_01667
group_1546,,hypothetical protein,,,PHDJFC_00797
group_1545,,Glucosamine kinase,,IGABOM_02958,
group_1544,,HTH lysR-type domain-containing protein,,IGABOM_02650,
group_1543,,Glycosyltransferase family 2 (GT2),,IGABOM_01006,
group_1538,,tRNA pseudouridine synthase B,,,PHDJFC_02617
group_1537,,Ribonuclease BN,,,PHDJFC_02345
group_1536,,Lipoprotein,,,PHDJFC_01801
group_1535,,Integral membrane protein,,,PHDJFC_01834
group_1534,,Inosine-uridine preferring nucleoside hydrolase,,,PHDJFC_01777
group_1533,,Prenyltransferase,,,PHDJFC_01523
group_1532,,Regulatory protein YycH-like domain-containing protein,,,PHDJFC_01379
group_1531,,Malate permease,,,PHDJFC_01244
group_1530,,Citrate lyase subunit beta,,,PHDJFC_00981
group_1529,,ABC transporter substrate-binding protein,,,PHDJFC_00784
group_1528,,3-hydroxyacyl-CoA dehydrogenase,,,PHDJFC_00752
group_1527,,NADP-dependent oxidoreductase domain-containing protein,,,PHDJFC_00448
group_1526,,Malonyl CoA-acyl carrier protein transacylase,,,PHDJFC_00248
group_1525,,hypothetical protein,,IGABOM_02618,
group_1524,,site-specific DNA-methyltransferase (adenine-specific),,IGABOM_02100,
group_1523,lysR,Transcription regulator LysR family,,IGABOM_00079,
group_1522,,Medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family protein,,IGABOM_00076,
group_1518,,Transposase IS4-like domain-containing protein,JLGHJK_01333,,
group_1517,,Sce7725 family protein,,,PHDJFC_01998
group_1516,,Mg2+ and Co2+ transporter,,,PHDJFC_01095
group_1515,,hypothetical protein,,,PHDJFC_00271
group_1514,,hypothetical protein,,IGABOM_00241,
group_1513,,AAA domain-containing protein,JLGHJK_03412,,
group_1504,,Ribokinase,,,PHDJFC_02517
group_1502,,Integrase catalytic domain-containing protein,,IGABOM_01625,
group_1501,,hypothetical protein,,IGABOM_00499,
group_1500,,HTH araC/xylS-type domain-containing protein,,IGABOM_00110,
group_1498,,Integrase catalytic domain-containing protein,JLGHJK_01369,,
group_1493,,Pantothenate kinase,,,PHDJFC_02129
group_1492,,tRNA dimethylallyltransferase,,,PHDJFC_00316
group_1491,,hypothetical protein,,,PHDJFC_00188
group_1490,,Pseudouridine synthase,,,PHDJFC_00125
group_1489,,hypothetical protein,,,PHDJFC_00103
group_1485,,ABC-type metal ion transport system periplasmic component surface adhesin,,,PHDJFC_00896
group_1484,,Phosphate transport system permease protein,,,PHDJFC_00705
group_1483,dnaI,Primosomal protein DnaI,,,PHDJFC_00365
group_1482,,DUF2179 domain-containing protein,,,PHDJFC_00209
group_1476,,Phage head morphogenesis domain-containing protein,,,PHDJFC_02670
group_1475,,TPR repeat-containing protein,,,PHDJFC_02553
group_1474,,ABC transmembrane type-1 domain-containing protein,,,PHDJFC_02122
group_1473,,DMT family transporter,,,PHDJFC_00977
group_1472,,hypothetical protein,,,PHDJFC_00334
group_1471,,Fe/B12 periplasmic-binding domain-containing protein,,IGABOM_02631,
rihA,rihA,Pyrimidine-specific ribonucleoside hydrolase RihA,,,PHDJFC_01690
group_1460,,Serine aminopeptidase S33 domain-containing protein,,,PHDJFC_01211
group_1459,,ABC transporter osmoprotectant-binding protein glycine betaine/carnitine/choline ABC transporter,,,PHDJFC_01121
group_1458,,hypothetical protein,,,PHDJFC_00966
group_1457,,Glycosyltransferase family 2 (GT2),,IGABOM_01007,
group_1456,,hypothetical protein,,IGABOM_00459,
group_1451,,Initiator Rep protein WH1 domain-containing protein,,,PHDJFC_02890
prsA,prsA,Foldase protein PrsA,,,PHDJFC_02445
group_1450,rihB,Pyrimidine-specific ribonucleoside hydrolase RihB,,,PHDJFC_01631
drrA,drrA,DrrA protein,,,PHDJFC_01525
group_1449,,HPr kinase/phosphorylase,,,PHDJFC_00696
group_1448,,exopolyphosphatase,,,PHDJFC_00632
group_1447,,Restriction endonuclease type IV Mrr domain-containing protein,,IGABOM_01555,
group_1442,,Penicillin V acylase family protein,,,PHDJFC_01896
group_1441,,ABC transporter permease,,,PHDJFC_00968
group_1440,,hypothetical protein,,,PHDJFC_00953
group_1439,,hypothetical protein,,,PHDJFC_00731
whiA,whiA,putative cell division protein WhiA,,,PHDJFC_00683
group_1437,,Glycosyltransferase 2-like domain-containing protein,,,PHDJFC_02342
group_1436,eamA,EamA family transporter,,,PHDJFC_01151
group_1435,,hypothetical protein,,,PHDJFC_01091
group_1434,,Purine nucleosidase,,,PHDJFC_00976
group_1433,,Thioredoxin reductase,,,PHDJFC_00692
group_1430,,hypothetical protein,,,PHDJFC_02686
group_1429,,Carbamate kinase 2,,,PHDJFC_01826
group_1428,,hypothetical protein,,,PHDJFC_01682
group_1427,,ADP-ribosylglycohydrolase,,,PHDJFC_01418
group_1426,,hypothetical protein,,,PHDJFC_01394
group_1425,,hypothetical protein,,,PHDJFC_01183
group_1424,,Di-and tricarboxylate transporter,,,PHDJFC_00575
group_1423,,Methionyl-tRNA formyltransferase,,,PHDJFC_00283
group_1422,,NADPH:quinone reductase,,,PHDJFC_00106
group_1421,lysM,Extracellular transglycosylase with LysM peptidoglycan binding domain,,IGABOM_02412,
group_1420,,Phage head morphogenesis domain-containing protein,,IGABOM_00545,
group_1418,,Phage head morphogenesis domain-containing protein,JLGHJK_02883,,
group_1414,,Riboflavin biosynthesis protein,,,PHDJFC_02618
group_1413,,Phosphoglycerate dehydrogenase related enzyme,,,PHDJFC_02265
group_1412,,Auxin efflux carrier,,,PHDJFC_00782
group_1411,,hypothetical protein,,IGABOM_01619,
insH,insH,Transposase InsH N-terminal domain-containing protein,JLGHJK_00335,,
tagU,tagU,Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU,,,PHDJFC_02260
group_1410,,Putative autolytic enzyme,,,PHDJFC_01889
group_1409,,Peptide ABC transporter permease,,,PHDJFC_01271
group_1408,,N-acetylmuramic acid 6-phosphate etherase,,IGABOM_02957,
group_1405,,Ribonuclease Z,,,PHDJFC_02564
group_1404,,Tyrosine-protein phosphatase,,,PHDJFC_01812
group_1403,,hypothetical protein,,,PHDJFC_01217
group_1402,,Peroxidase,,,PHDJFC_01114
group_1401,ycsN,Oxidoreductase YcsN,,,PHDJFC_01005
group_1400,,Putative sugar-binding domain protein,,,PHDJFC_00986
group_1399,,[Citrate [pro-3S]-lyase] ligase,,,PHDJFC_00983
ycsN,ycsN,Oxidoreductase YcsN,,IGABOM_02628,
group_1398,,Lin1244/Lin1753-like N-terminal domain-containing protein,,IGABOM_00524,
group_1396,,hypothetical protein,JLGHJK_02584,,
group_1392,rihB,Pyrimidine-specific ribonucleoside hydrolase RihB,,,PHDJFC_02062
group_1391,,Penicillin V acylase family protein,,,PHDJFC_01708
group_1390,,L-lactate dehydrogenase,,,PHDJFC_00841
group_1386,,DAGKc domain-containing protein,,,PHDJFC_02526
group_1385,,Citrate lyase regulator,,,PHDJFC_02319
group_1384,,ABC-type oligopeptide transport system ATPase component,,,PHDJFC_02125
group_1383,,ABC transmembrane type-1 domain-containing protein,,,PHDJFC_01270
group_1382,,hypothetical protein,,,PHDJFC_01131
group_1381,,hypothetical protein,,,PHDJFC_00560
group_1376,,hypothetical protein,,,PHDJFC_02484
group_1375,,Putative 2-hydroxyacid dehydrogenase SSP0606,,,PHDJFC_02405
group_1374,,Beta-lactamase class A,,,PHDJFC_01850
group_1373,,2-dehydro-3-deoxygluconokinase,,,PHDJFC_01073
group_1372,,2-dehydro-3-deoxygluconokinase,,,PHDJFC_00933
group_1371,,Pathogenicity island SaPIn1,JLGHJK_03402,,
group_1365,,ABC transporter permease,,,PHDJFC_02094
group_1364,,ABC transporter substrate binding protein,,,PHDJFC_02093
group_1363,,Electron transfer flavoprotein alpha/beta-subunit N-terminal domain-containing protein,,,PHDJFC_01957
group_1362,,Beta-galactosidase small subunit,,,PHDJFC_01547
group_1361,,HTH lacI-type domain-containing protein,,,PHDJFC_01038
group_1360,,UPF0324 membrane protein LJ_1117,,,PHDJFC_00993
group_1359,,IpaB/EvcA family protein,,,PHDJFC_00921
group_1358,,hypothetical protein,,,PHDJFC_00719
tadA,tadA,Flp pilus assembly complex ATPase component TadA,,,PHDJFC_00459
group_1357,,hypothetical protein,,,PHDJFC_00328
group_1356,,DUF3991 domain-containing protein,JLGHJK_03380,,
group_1354,,hypothetical protein,JLGHJK_02579,,
group_1353,,WYL domain-containing protein,JLGHJK_01882,,
yqiG,yqiG,putative NADH-dependent flavin oxidoreductase yqiG,,,PHDJFC_01878
group_1349,lacI,Transcriptional regulator LacI family,,,PHDJFC_01344
group_1348,,Cell surface protein,,,PHDJFC_00649
isdF,isdF,putative heme-iron transport system permease protein IsdF,,,PHDJFC_00634
group_1347,,Enoyl reductase (ER) domain-containing protein,,IGABOM_02603,
group_1345,,hypothetical protein,JLGHJK_01898,,
group_1342,,Auxin efflux carrier,,,PHDJFC_01616
group_1341,,hypothetical protein,,,PHDJFC_01475
group_1340,,Cation diffusion facilitator family transporter,,,PHDJFC_01277
group_1339,,hypothetical protein,,,PHDJFC_00538
group_1338,,Glucokinase,,,PHDJFC_00320
group_1337,,hypothetical protein,,,PHDJFC_00279
group_1332,,HD domain-containing protein,,,PHDJFC_02444
group_1331,,hypothetical protein,,,PHDJFC_01438
oppF,oppF,Oligopeptide transport ATP-binding protein OppF,,,PHDJFC_01269
group_1330,,Phosphate acetyltransferase,,,PHDJFC_00660
nrnA,nrnA,Putative bifunctional oligoribonuclease and PAP phosphatase NrnA,,,PHDJFC_00491
group_1329,,diphosphomevalonate decarboxylase,,,PHDJFC_00158
group_1328,,choloylglycine hydrolase,,IGABOM_02984,
group_1320,,Pyruvate dehydrogenase E1 component subunit beta,,,PHDJFC_02532
group_1319,,Heptaprenyl diphosphate synthase,,,PHDJFC_02270
group_1318,,hypothetical protein,,,PHDJFC_01793
group_1317,lacI,Transcriptional regulator LacI family,,,PHDJFC_01687
group_1316,,Cobalt-zinc-cadmium resistance protein,,,PHDJFC_01629
group_1315,lacI,Transcription regulator LacI family,,IGABOM_02980,
group_1309,,2-dehydro-3-deoxygluconokinase,,,PHDJFC_01322
group_1308,,Malate permease,,,PHDJFC_00984
group_1307,lytR,Bifunctional protein: ABC transporterATP-binding protein transcription regulator LytR family,,,PHDJFC_00898
group_1306,,Ribose-phosphate pyrophosphokinase,,,PHDJFC_00889
group_1305,,hypothetical protein,,,PHDJFC_00489
scrR,scrR,ScrR,,IGABOM_00074,
group_1303,,DNA polymerase III subunit delta,JLGHJK_01865,,
group_1300,,Nickel/cobalt efflux system,,,PHDJFC_02018
group_1299,,NADP-dependent oxidoreductase domain-containing protein,,,PHDJFC_01908
iolS,iolS,Protein IolS,,,PHDJFC_01529
group_1298,,Tyrosine--tRNA ligase,,,PHDJFC_00952
group_1297,,Beta-ketoacyl-[acyl-carrier-protein] synthase III 2,,,PHDJFC_00250
group_1296,,2-dehydropantoate 2-reductase,,IGABOM_00208,
group_1295,,Putative ribose-phosphate pyrophosphokinase 2,,,PHDJFC_02506
group_1294,,34-dihydroxy-2-butanone 4-phosphate synthase,,,PHDJFC_02254
group_1293,,GMP reductase,,,PHDJFC_01215
group_1292,lacI,LacI family DNA-binding transcriptional regulator,,,PHDJFC_00930
group_1285,,NADP-dependent oxidoreductase domain-containing protein,,,PHDJFC_02514
group_1284,,Transposase,JLGHJK_02282,,
group_1281,,4-phosphoerythronate dehydrogenase,,,PHDJFC_01307
group_1279,,Prophage P1 protein 53 GDSL-like lipase/acylhydrolase family,,IGABOM_00558,
group_1278,,Prophage P1 protein 53 GDSL-like lipase/acylhydrolase family,JLGHJK_02870,,
group_1277,,Peptide ABC transporter substrate-binding protein,,,PHDJFC_02091
group_1276,,tRNA-dihydrouridine synthase,,,PHDJFC_01184
group_1275,,AB hydrolase-1 domain-containing protein,,,PHDJFC_00897
group_1274,,Ribonucleoside-diphosphate reductase subunit beta,,,PHDJFC_00750
group_1273,,Iron chelatin ABC transporter permease protein,,IGABOM_02634,
group_1272,,Group II intron maturase-specific domain-containing protein,,IGABOM_00946,
group_1266,,Lactate dehydrogenase,,,PHDJFC_02594
group_1265,,HTH lacI-type domain-containing protein,,,PHDJFC_01651
group_1264,,Peptide chain release factor 2,,,PHDJFC_00713
group_1263,,Ferrichrome ABC transporter permease,,IGABOM_02633,
group_1260,,GTP 3'8-cyclase,JLGHJK_01858,,
group_1258,,Zn-dependent protease,,,PHDJFC_01447
group_1257,,4-phosphoerythronate dehydrogenase,,,PHDJFC_01243
group_1256,,Catabolite control protein A,,,PHDJFC_00464
group_1254,,Iron chelatin ABC transporter permease protein,JLGHJK_01854,,
group_1248,,15-anhydro-D-fructose reductase,,,PHDJFC_02334
group_1247,,UDP-glucose 4-epimerase,,,PHDJFC_01968
group_1246,,ADP-ribosylglycohydrolase,,,PHDJFC_01573
group_1245,mreB,Cell shape-determining protein MreB,,,PHDJFC_00518
group_1243,,dTDP-glucose 46-dehydratase,,,PHDJFC_02264
group_1242,,Aspartate--ammonia ligase,,,PHDJFC_02256
group_1241,,Enoyl reductase (ER) domain-containing protein,,,PHDJFC_01386
group_1240,,Transcriptional regulator,,,PHDJFC_01302
mreB,mreB,Cell shape-determining protein MreB,,,PHDJFC_00544
group_1235,,Cytochrome D ubiquinol oxidase subunit II,,,PHDJFC_02267
group_1234,,HTH lacI-type domain-containing protein,,,PHDJFC_01971
group_1233,,Alcohol dehydrogenase 1,,,PHDJFC_01173
group_1232,,Putative gluconeogenesis factor,,,PHDJFC_00684
group_1231,,Glyceraldehyde-3-phosphate dehydrogenase,,,PHDJFC_00674
group_1230,,ADP-ribosylglycohydrolase,JLGHJK_03561,,
group_1225,,Zinc-containing alcohol dehydrogenase/quinone oxidoreductase,,,PHDJFC_01956
group_1224,,Peptidoglycan N-acetylglucosamine deacetylase,,,PHDJFC_01532
group_1223,,lipoate--protein ligase,,,PHDJFC_01265
group_1222,,6-phospho-beta-glucosidase,,,PHDJFC_00905
group_1221,,DNA polymerase III subunit delta,,,PHDJFC_00738
group_1220,,Glycerol-3-phosphate dehydrogenase [NAD(P)+],,,PHDJFC_00694
group_1219,,hypothetical protein,,,PHDJFC_00116
group_1214,,6-phosphogluconate dehydrogenase decarboxylating,,,PHDJFC_01361
group_1213,,hypothetical protein,,,PHDJFC_01276
group_1212,,Tryptophan--tRNA ligase,,,PHDJFC_00925
group_1211,,Threonylcarbamoyl-AMP synthase,,,PHDJFC_00556
ruvB,ruvB,Holliday junction branch migration complex subunit RuvB,,,PHDJFC_00496
group_1210,,Alcohol dehydrogenase 1,,,PHDJFC_00346
group_1209,,hypothetical protein,,,PHDJFC_00121
group_1208,araC,Transcriptional regulator AraC family,,IGABOM_03032,
group_1203,,DAGKc domain-containing protein,,,PHDJFC_02280
